,ID_Marque,Marque,Modele_com,Designation_com
1021,1021,FERRARI,458,458 SPIDER
1022,1022,FERRARI,CALIFORNIA,CALIFORNIA
1023,1023,FERRARI,F12,F12Berlinetta
1024,1024,FERRARI,FF,FF
1025,1025,FERRARI,LAFERRARI,LaFerrari
1026,1026,FERRARI,NON RENSEIGN?,FF
1027,1027,FIAT,500,500 1.2 (69ch)
1028,1028,FIAT,500,500 1.2 (69ch) Dualogic
1029,1029,FIAT,500,500 1.2 8V
1030,1030,FIAT,500,500 1.2 8V (69ch) Dualogic Start/Stop
1031,1031,FIAT,500,500 1.2 8V (69ch) Start/Stop
1032,1032,FIAT,500,500 1.2 8V Dualogic
1033,1033,FIAT,500,500 1.2 8V Dualogic Euro 6
1034,1034,FIAT,500,500 1.2 8V Dualogic Start/Stop Euro 5
1035,1035,FIAT,500,500 1.2 8V Dualogic Start/Stop Euro 6
1036,1036,FIAT,500,500 1.2 8V Euro 6
1037,1037,FIAT,500,500 1.2 8V Start/Stop Euro 5
1038,1038,FIAT,500,500 1.2 8V Start/Stop Euro 6
1039,1039,FIAT,500,500 1.3 MultiJet 16V
1040,1040,FIAT,500,500 1.3 MultiJet 16V (95ch) Start/Stop DPF
1041,1041,FIAT,500,500 1.4 (100ch) Dualogic
1042,1042,FIAT,500,500 1.4 (100ch) Dualogic Start/Stop
1043,1043,FIAT,500,500 1.4 (100ch) Start/Stop
1044,1044,FIAT,500,500 1.4 16V (100ch)
1045,1045,FIAT,500,500 1.4 16V Dualogic Euro 5
1046,1046,FIAT,500,500 1.4 16V Euro 5
1047,1047,FIAT,500,500 Abarth Esseesse Euro 5
1048,1048,FIAT,500,500 Abarth Euro 5
1049,1049,FIAT,500,500 TwinAir 0.9 (65ch)
1050,1050,FIAT,500,500 TwinAir 0.9 (85ch)
1051,1051,FIAT,500,500 TwinAir 0.9 (85ch) Dualogic
1052,1052,FIAT,500,500 TwinAir 0.9 (85ch) Dualogic Start/Stop
1053,1053,FIAT,500,500 TwinAir 0.9 (85ch) Start/Stop
1054,1054,FIAT,500,500 TwinAir 0.9 (85ch) Start/Stop Euro 6
1055,1055,FIAT,500 ABARTH,Abarth 500 1.4 T-Jet (135ch) BVM
1056,1056,FIAT,500 ABARTH,Abarth 500 1.4 T-Jet (140ch) BVA
1057,1057,FIAT,500 ABARTH,Abarth 595 1.4 T-Jet (160ch) BVA
1058,1058,FIAT,500 ABARTH,Abarth 595 1.4 T-Jet (160ch) BVM
1059,1059,FIAT,500C,500C 1.2 (69ch)
1060,1060,FIAT,500C,500C 1.2 (69ch) Dualogic
1061,1061,FIAT,500C,500C 1.2 8V
1062,1062,FIAT,500C,500C 1.2 8V (69ch) Dualogic Start/Stop
1063,1063,FIAT,500C,500C 1.2 8V (69ch) Start/Stop
1064,1064,FIAT,500C,500C 1.2 8V Dual Logic
1065,1065,FIAT,500C,500C 1.2 8V Dual Logic Start/Stop Euro 5
1066,1066,FIAT,500C,500C 1.2 8V Euro 6
1067,1067,FIAT,500C,500C 1.2 8V Start/Stop Euro 5
1068,1068,FIAT,500C,500C 1.2 8V Start/Stop Euro 6
1069,1069,FIAT,500C,500C 1.3 MultiJet 16V
1070,1070,FIAT,500C,500C 1.3 MultiJet 16V (95ch) Start/Stop DPF
1071,1071,FIAT,500C,500C 1.3 MultiJet 16V (95ch) Start/Stop DPF Euro 6
1072,1072,FIAT,500C,500C 1.4 (100ch)
1073,1073,FIAT,500C,500C 1.4 (100ch) Dualogic
1074,1074,FIAT,500C,500C 1.4 (100ch) Dualogic Start/Stop
1075,1075,FIAT,500C,500C 1.4 (100ch) Start/Stop
1076,1076,FIAT,500C,500C 1.4 16V Dual Logic Euro 5
1077,1077,FIAT,500C,500C TwinAir 0.9 (85ch)
1078,1078,FIAT,500C,500C TwinAir 0.9 (85ch) Dualogic
1079,1079,FIAT,500C,500C TwinAir 0.9 (85ch) Dualogic Start/Stop
1080,1080,FIAT,500C,500C TwinAir 0.9 (85ch) Dualogic Start/Stop Euro 6
1081,1081,FIAT,500C,500C TwinAir 0.9 (85ch) Euro 6
1082,1082,FIAT,500C,500C TwinAir 0.9 (85ch) Start/Stop
1083,1083,FIAT,500C ABARTH,Abarth 500C 1.4 T-Jet (135ch) BVM
1084,1084,FIAT,500C ABARTH,Abarth 500C 1.4 T-Jet (140ch) BVA
1085,1085,FIAT,500C ABARTH,Abarth 595C 1.4 T-Jet (160ch) BVA
1086,1086,FIAT,500C ABARTH,Abarth 595C 1.4 T-Jet (160ch) BVM
1087,1087,FIAT,500C ABARTH,Abarth 695 1.4 T-Jet (180ch) BVA
1088,1088,FIAT,500L,500L 1.3 MultiJet 16V (85ch)
1089,1089,FIAT,500L,500L 1.4 16V Euro 6 (95ch)
1090,1090,FIAT,500L,500L 1.6 MultiJet 16V (105ch)
1091,1091,FIAT,500L,500L 1.6 MultiJet 16V (120ch)
1092,1092,FIAT,500L,500L TwinAir 0.9 (105ch)
1093,1093,FIAT,BRAVO,BRAVO 1.4 (90ch)
1094,1094,FIAT,BRAVO,BRAVO 1.4 (90ch) GPL Euro 5
1095,1095,FIAT,BRAVO,BRAVO 1.4 MultiAir (140ch)
1096,1096,FIAT,BRAVO,BRAVO 1.4 MultiAir (140ch) Start/Stop
1097,1097,FIAT,BRAVO,BRAVO 1.4 T-Jet (120ch) Euro5
1098,1098,FIAT,BRAVO,BRAVO 1.4 T-Jet (120ch) Euro6
1099,1099,FIAT,BRAVO,BRAVO 1.6 16V MultiJet (120ch) DPF
1100,1100,FIAT,BRAVO,BRAVO 1.6 MultiJet (105ch) Euro 5
1101,1101,FIAT,BRAVO,BRAVO 1.6 MultiJet (105ch) Sport Euro 5
1102,1102,FIAT,BRAVO,BRAVO 1.6 MultiJet (120ch) Dualogic Euro 5
1103,1103,FIAT,BRAVO,BRAVO 1.6 MultiJet (120ch) Euro 5
1104,1104,FIAT,BRAVO,BRAVO 1.6 MultiJet (120ch) Sport Dualogic Euro 5
1105,1105,FIAT,BRAVO,BRAVO 1.6 MultiJet (120ch) Sport Euro 5
1106,1106,FIAT,BRAVO,BRAVO 2.0 MultiJet (165ch) Euro 5
1107,1107,FIAT,BRAVO,BRAVO 2.0 MultiJet (165ch) Sport Euro 5
1108,1108,FIAT,DOBLO,DOBLO 1.3 MultiJet (90ch)
1109,1109,FIAT,DOBLO,DOBLO 1.3 MultiJet (90ch) Dualogic
1110,1110,FIAT,DOBLO,DOBLO 1.3 MultiJet (90ch) Dualogic Toit Haut
1111,1111,FIAT,DOBLO,DOBLO 1.4 (95ch)
1112,1112,FIAT,DOBLO,DOBLO 1.4 (95ch) 7PL
1113,1113,FIAT,DOBLO,DOBLO 1.4 (95ch) Start/Stop
1114,1114,FIAT,DOBLO,DOBLO 1.4 (95ch) Start/Stop 7PL
1115,1115,FIAT,DOBLO,DOBLO 1.4 (95ch) Start/Stop Toit Haut
1116,1116,FIAT,DOBLO,DOBLO 1.4 (95ch) Toit haut
1117,1117,FIAT,DOBLO,DOBLO 1.4 16V (120ch) GNV
1118,1118,FIAT,DOBLO,DOBLO 1.4 T-Jet (120ch)
1119,1119,FIAT,DOBLO,DOBLO 1.4 T-Jet (120ch) 7PL
1120,1120,FIAT,DOBLO,DOBLO 1.4 T-Jet (120ch) GNV
1121,1121,FIAT,DOBLO,DOBLO 1.4 T-Jet (120ch) GNV 7PL
1122,1122,FIAT,DOBLO,DOBLO 1.4 T-Jet (120ch) GNV 7PL Euro 6
1123,1123,FIAT,DOBLO,DOBLO 1.4 T-Jet (120ch) GNV Euro 6
1124,1124,FIAT,DOBLO,DOBLO 1.6 MultiJet (105ch) S/S
1125,1125,FIAT,DOBLO,DOBLO 1.6 MultiJet (105ch) Start/Stop
1126,1126,FIAT,DOBLO,DOBLO 1.6 MultiJet (105ch) Start/Stop 7PL
1127,1127,FIAT,DOBLO,DOBLO 1.6 MultiJet (105ch) Start/Stop Toit haut
1128,1128,FIAT,DOBLO,DOBLO 1.6 MultiJet (90ch) Start/Stop
1129,1129,FIAT,DOBLO,DOBLO 1.6 MultiJet (90ch) Start/Stop 7PL
1130,1130,FIAT,DOBLO,DOBLO 1.6 MultiJet (90ch) Start/Stop Dualogic
1131,1131,FIAT,DOBLO,DOBLO 1.6 MultiJet (90ch) Start/Stop Dualogic 7PL
1132,1132,FIAT,DOBLO,DOBLO 1.6 MultiJet (90ch) Start/Stop Dualogic Toit haut
1133,1133,FIAT,DOBLO,DOBLO 1.6 MultiJet (90ch) Start/Stop Toit haut
1134,1134,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (105ch) Start/Stop DPF
1135,1135,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (105ch) Start/Stop DPF 7PL
1136,1136,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (90ch)
1137,1137,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (90ch) Dualogic
1138,1138,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (90ch) Dualogic TOIT HAUT
1139,1139,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (90ch) S/S D.P.F. Dualogic
1140,1140,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (90ch) S/S D.P.F. Dualogic 7PL
1141,1141,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (90ch) Start/Stop DPF
1142,1142,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (90ch) Start/Stop DPF 7PL
1143,1143,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (90ch) Start/Stop DPF Dualogic TOIT HAUT
1144,1144,FIAT,DOBLO,DOBLO 1.6 MultiJet 16V (90ch) Start/Stop DPF TOIT HAUT
1145,1145,FIAT,DOBLO,DOBLO 2.0 MultiJet (135ch)
1146,1146,FIAT,DOBLO,DOBLO 2.0 MultiJet (135ch) Start/Stop
1147,1147,FIAT,DOBLO,DOBLO 2.0 MultiJet (135ch) Start/Stop 7PL
1148,1148,FIAT,DOBLO,DOBLO 2.0 MultiJet (135ch) Start/Stop Toit haut
1149,1149,FIAT,DOBLO,DOBLO 2.0 MultiJet (135ch) Toit Haut
1150,1150,FIAT,DOBLO,DOBLO 2.0 MultiJet 16V (135ch) Start/Stop DPF
1151,1151,FIAT,DOBLO,DOBLO 2.0 MultiJet 16V (135ch) Start/Stop DPF 7PL
1152,1152,FIAT,DUCATO,Combi 3.0 - C H1 - 2.0 Mjt (115ch)
1153,1153,FIAT,DUCATO,Combi 3.0 - C H1 - 2.3 Mjt (130ch)
1154,1154,FIAT,DUCATO,Combi 3.0 - C H1 - 2.3 Mjt (150ch)
1155,1155,FIAT,DUCATO,Combi 3.0 - C H1 - 3.0 Mjt (180ch)
1156,1156,FIAT,DUCATO,Combi 3.3 - M H2 - 2.0 Mjt (115ch)
1157,1157,FIAT,DUCATO,Combi 3.3 - M H2 - 2.3 Mjt (130ch)
1158,1158,FIAT,DUCATO,Combi 3.3 - M H2 - 2.3 Mjt (150ch)
1159,1159,FIAT,DUCATO,Combi 3.5 - L H2 - 2.0 Mjt (115ch) Flexfloor
1160,1160,FIAT,DUCATO,Combi 3.5 - L H2 - 2.3 Mjt (130ch) Flexfloor
1161,1161,FIAT,DUCATO,Combi 3.5 - L H2 - 2.3 Mjt (150ch) Flexfloor
1162,1162,FIAT,DUCATO,Panorama 3.0 - C H1 - 2.3 Mjt (130ch)
1163,1163,FIAT,DUCATO,Panorama 3.0 - C H1 - 2.3 Mjt (150ch)
1164,1164,FIAT,DUCATO,Panorama 3.0 - C H1 - 3.0 Mjt (180ch)
1165,1165,FIAT,DUCATO,Panorama 3.3 - M H2 - 2.0 Mjt (115ch)
1166,1166,FIAT,DUCATO,Panorama 3.3 - M H2 - 2.0 Mjt (115ch) Flexfloor
1167,1167,FIAT,DUCATO,Panorama 3.3 - M H2 - 2.3 Mjt (130ch)
1168,1168,FIAT,DUCATO,Panorama 3.3 - M H2 - 2.3 Mjt (130ch) Flexfloor
1169,1169,FIAT,DUCATO,Panorama 3.3 - M H2 - 2.3 Mjt (150ch)
1170,1170,FIAT,DUCATO,Panorama 3.3 - M H2 - 2.3 Mjt (150ch) Flexfloor
1171,1171,FIAT,DUCATO,Panorama 3.3 - M H2 - 3.0 Mjt (180ch)
1172,1172,FIAT,DUCATO,Panorama 3.3 - M H2 - 3.0 Mjt (180ch) Flexfloor
1173,1173,FIAT,DUCATO 4X4,DUCATO Combi 3.3 - M H2 - 2.3 Mjt (130ch) 4x4 DANGEL
1174,1174,FIAT,DUCATO 4X4,DUCATO Combi 3.3 - M H2 - 2.3 Mjt (150ch) 4x4 DANGEL
1175,1175,FIAT,DUCATO 4X4,DUCATO Combi 3.5 - L H2 - 2.3 Mjt (130ch) Flexfloor 4x4 DANGEL
1176,1176,FIAT,DUCATO 4X4,DUCATO Combi 3.5 - L H2 - 2.3 Mjt (150ch) Flexfloor 4x4 DANGEL
1177,1177,FIAT,DUCATO 4X4,DUCATO Panorama 3.3 - M H2 - 2.3 Mjt (130ch) 4x4 DANGEL
1178,1178,FIAT,DUCATO 4X4,DUCATO Panorama 3.3 - M H2 - 2.3 Mjt (130ch) Flexfloor 4x4 DANGEL
1179,1179,FIAT,DUCATO 4X4,DUCATO Panorama 3.3 - M H2 - 2.3 Mjt (150ch) 4x4 DANGEL
1180,1180,FIAT,DUCATO 4X4,DUCATO Panorama 3.3 - M H2 - 2.3 Mjt (150ch) Flexfloor 4x4 DANGEL
1181,1181,FIAT,FIORINO,FIORINO Combi 1.3 MultiJet (75ch)
1182,1182,FIAT,FIORINO,QUBO 1.3 16V MultiJet (75ch)
1183,1183,FIAT,FIORINO,QUBO 1.3 16V MultiJet (75ch) Start/StopÖ
1184,1184,FIAT,FIORINO,QUBO 1.3 16V MultiJet (75ch) Start/StopÖ DualogicÖ
1185,1185,FIAT,FIORINO,QUBO 1.3 16V MultiJet (95ch) Start/StopÖ
1186,1186,FIAT,FIORINO,QUBO 1.4 8V (70ch) GNV
1187,1187,FIAT,FIORINO,QUBO 1.4 8V (70ch) GNV Euro 6
1188,1188,FIAT,FIORINO,QUBO 1.4 8V (73ch)
1189,1189,FIAT,FREEMONT,FREEMONT 2.0 16V MultiJet (170ch) 4X4 7PL
1190,1190,FIAT,FREEMONT,FREEMONT 2.0 MultiJet (140ch) 4X2 5PL
1191,1191,FIAT,FREEMONT,FREEMONT 2.0 MultiJet (140ch) 4X2 7PL
1192,1192,FIAT,FREEMONT,FREEMONT 2.0 MultiJet (170ch) 4X2 5PL
1193,1193,FIAT,FREEMONT,FREEMONT 2.0 MultiJet (170ch) 4X2 7PL
1194,1194,FIAT,FREEMONT,FREEMONT 3.6 V6 (280ch) 4X4 5PL
1195,1195,FIAT,FREEMONT,FREEMONT 3.6 V6 (280ch) 4X4 7PL
1196,1196,FIAT,PANDA,PANDA 1.2 (69ch)
1197,1197,FIAT,PANDA,PANDA 1.2 (69ch) 5PL
1198,1198,FIAT,PANDA,PANDA 1.4 GNV (77/70ch)
1199,1199,FIAT,PANDA,PANDA 4x4 1.2 (69ch)
1200,1200,FIAT,PANDA,PANDA 4x4 1.3 MultiJet (75ch)
1201,1201,FIAT,PANDA,PANDA 4x4 1.3 MultiJet (75ch) 5PL
1202,1202,FIAT,PANDA,PANDA III 0.9 TwinAir Turbo (85ch) Start/Stop
1203,1203,FIAT,PANDA,PANDA III 0.9 TwinAir Turbo (85ch) Start/Stop 5PL
1204,1204,FIAT,PANDA,PANDA III 0.9 TwinAir Turbo GNV (80ch)
1205,1205,FIAT,PANDA,PANDA III 0.9 TwinAir Turbo GNV (80ch) 5PL
1206,1206,FIAT,PANDA,PANDA III 0.9 TwinAir Turbo GNV (80ch) 5PL Euro 6
1207,1207,FIAT,PANDA,PANDA III 0.9 TwinAir Turbo GNV (80ch) Euro 6
1208,1208,FIAT,PANDA,PANDA III 1.2 (69ch)
1209,1209,FIAT,PANDA,PANDA III 1.2 (69ch) 5PL
1210,1210,FIAT,PANDA,PANDA III 1.2 GPL (69ch)
1211,1211,FIAT,PANDA,PANDA III 1.2 GPL (69ch) Euro 6
1212,1212,FIAT,PANDA,PANDA III 1.3 MultiJet (75ch) Start/Stop
1213,1213,FIAT,PANDA,PANDA III 1.3 MultiJet (75ch) Start/Stop 5PL
1214,1214,FIAT,PANDA,PANDA III 4x4 0.9 TwinAir Turbo (85ch) Start/Stop
1215,1215,FIAT,PANDA,PANDA III 4x4 0.9 TwinAir Turbo (85ch) Start/Stop 5PL
1216,1216,FIAT,PANDA,PANDA III 4x4 1.3 MultiJet (75ch) Start/Stop
1217,1217,FIAT,PANDA,PANDA III 4x4 1.3 MultiJet (75ch) Start/Stop 5PL
1218,1218,FIAT,PANDA,PANDA III Trekking 0.9 TwinAir Turbo (85ch) Start/Stop
1219,1219,FIAT,PANDA,PANDA III Trekking 0.9 TwinAir Turbo (85ch) Start/Stop 5PL
1220,1220,FIAT,PANDA,PANDA III Trekking 1.3 MultiJet (75ch) Start/Stop
1221,1221,FIAT,PANDA,PANDA III Trekking 1.3 MultiJet (75ch) Start/Stop 5PL
1222,1222,FIAT,PUNTO,PUNTO 0.9 (85ch)
1223,1223,FIAT,PUNTO,PUNTO 1.2 (69ch)
1224,1224,FIAT,PUNTO,PUNTO 1.3 MultiJet (75ch)
1225,1225,FIAT,PUNTO,PUNTO 1.3 MultiJet (85ch)
1226,1226,FIAT,PUNTO,PUNTO 1.3 MultiJet (95ch)
1227,1227,FIAT,PUNTO,PUNTO 1.4 (105ch)
1228,1228,FIAT,PUNTO,PUNTO 1.4 (77ch)
1229,1229,FIAT,PUNTO,PUNTO 1.4 Dualogic (77ch)
1230,1230,FIAT,PUNTO,PUNTO 1.4 GNV (70ch)
1231,1231,FIAT,PUNTO,PUNTO 1.4 GPL (77ch)
1232,1232,FIAT,SCUDO,SCUDO Combi 1.0 CH1 2.0 MultiJet (128ch)
1233,1233,FIAT,SCUDO,SCUDO Combi 1.0 CH1 2.0 MultiJet (163ch)
1234,1234,FIAT,SCUDO,SCUDO Combi 1.0 LH1 2.0 MultiJet (128ch)
1235,1235,FIAT,SCUDO,SCUDO Combi 1.0 LH1 2.0 MultiJet (163ch)
1236,1236,FIAT,SCUDO 4X4,SCUDO Combi/Panorama 8/9P 2.0 MJT 16v (130ch) CH1 4x4 DANGEL
1237,1237,FIAT,SCUDO 4X4,SCUDO Combi/Panorama 8/9P 2.0 MJT 16v (130ch) LH1 4x4 DANGEL
1238,1238,FIAT,SEDICI,SEDICI 1.6 16V 4x2
1239,1239,FIAT,SEDICI,SEDICI 1.6 16V 4x2 (120ch)
1240,1240,FIAT,SEDICI,SEDICI 1.6 16V 4x4 (120ch)
1241,1241,FIAT,SEDICI,SEDICI 1.6 16V BVA
1242,1242,FIAT,SEDICI,SEDICI 2.0 MultiJet (135ch) 4x2
1243,1243,FIAT,SEDICI,SEDICI 2.0 MultiJet (135ch) 4x4
1244,1244,FORD,B-MAX,B-MAX 1000 S&S (100ch) EcoBoost
1245,1245,FORD,B-MAX,B-MAX 1000 S&S (125ch) EcoBoost
1246,1246,FORD,B-MAX,B-MAX 1400 (90ch)
1247,1247,FORD,B-MAX,B-MAX 1500 TDCi (75ch) FAP
1248,1248,FORD,B-MAX,B-MAX 1600 (105ch) PowerShift
1249,1249,FORD,B-MAX,B-MAX 1600 TDCi (95ch) FAP
1250,1250,FORD,C-MAX,C-MAX II 1000 EcoBoost S&S (100ch)
1251,1251,FORD,C-MAX,C-MAX II 1000 EcoBoost S&S (125ch)
1252,1252,FORD,C-MAX,C-MAX II 1600 EcoBoost S&S (150ch)
1253,1253,FORD,C-MAX,C-MAX II 1600 TDCi (115ch) FAP
1254,1254,FORD,C-MAX,C-MAX II 1600 TDCi (95ch) FAP
1255,1255,FORD,C-MAX,C-MAX II 2000 TDCi (115ch) FAP PowerShift
1256,1256,FORD,C-MAX,C-MAX II 2000 TDCi (140ch) FAP
1257,1257,FORD,C-MAX,C-MAX II 2000 TDCi (140ch) FAP PowerShift
1258,1258,FORD,ECOSPORT,ECOSPORT 1000 Ecoboost (125ch)
1259,1259,FORD,ECOSPORT,ECOSPORT 1500 (110ch) PowerShift
1260,1260,FORD,ECOSPORT,ECOSPORT 1500 TDCi (90ch) FAP
1261,1261,FORD,FIESTA,FIESTA 3P 1000 EcoBoost (100ch) PowerShift
1262,1262,FORD,FIESTA,FIESTA 3P 1000 EcoBoost S&S (100ch)
1263,1263,FORD,FIESTA,FIESTA 3P 1000 EcoBoost S&S (125ch)
1264,1264,FORD,FIESTA,FIESTA 3P 1000 S&S (80ch)
1265,1265,FORD,FIESTA,FIESTA 3P 1250 (60ch)
1266,1266,FORD,FIESTA,FIESTA 3P 1250 (82ch)
1267,1267,FORD,FIESTA,FIESTA 3P 1500 TDCi (75ch) FAP
1268,1268,FORD,FIESTA,FIESTA 3P 1600 TDCi (95ch) ECOnétic FAP S&S
1269,1269,FORD,FIESTA,FIESTA 3P 1600 TDCi (95ch) FAP
1270,1270,FORD,FIESTA,FIESTA 3P ST 1600 EcoBoost (182ch)
1271,1271,FORD,FIESTA,FIESTA 5P 1000 EcoBoost (100ch) PowerShift
1272,1272,FORD,FIESTA,FIESTA 5P 1000 EcoBoost S&S (100ch)
1273,1273,FORD,FIESTA,FIESTA 5P 1000 EcoBoost S&S (125ch)
1274,1274,FORD,FIESTA,FIESTA 5P 1000 S&S (80ch)
1275,1275,FORD,FIESTA,FIESTA 5P 1250 (60ch)
1276,1276,FORD,FIESTA,FIESTA 5P 1250 (82ch)
1277,1277,FORD,FIESTA,FIESTA 5P 1500 TDCi (75ch) FAP
1278,1278,FORD,FIESTA,FIESTA 5P 1600 TDCi (95ch) ECOnétic FAP S&S
1279,1279,FORD,FIESTA,FIESTA 5P 1600 TDCi (95ch) FAP
1280,1280,FORD,FOCUS,FOCUS III 5P 1000 EcoBoost (100ch) 99g BVM5 S&S
1281,1281,FORD,FOCUS,FOCUS III 5P 1000 EcoBoost (100ch) BVM5 S&S
1282,1282,FORD,FOCUS,FOCUS III 5P 1000 EcoBoost (125ch) BVM6 S&S
1283,1283,FORD,FOCUS,FOCUS III 5P 1600 EcoBoost (182ch) BVM6 S&S
1284,1284,FORD,FOCUS,FOCUS III 5P 1600 FLEXIFUEL S&S (150ch)
1285,1285,FORD,FOCUS,FOCUS III 5P 1600 TDCi ECOnétic S&S (88 g/km)
1286,1286,FORD,FOCUS,FOCUS III 5P 1600 TDCi ECOnétic S&S (99 g/km)
1287,1287,FORD,FOCUS,FOCUS III 5P 1600 TDCi S&S (115ch) FAP
1288,1288,FORD,FOCUS,FOCUS III 5P 1600 TDCi S&S (95ch) FAP
1289,1289,FORD,FOCUS,FOCUS III 5P 1600 Ti-VCT (85ch)
1290,1290,FORD,FOCUS,FOCUS III 5P 1600 Ti-VCT(125ch) PowerShift
1291,1291,FORD,FOCUS,FOCUS III 5P 2000 (250ch) EcoBoost
1292,1292,FORD,FOCUS,FOCUS III 5P 2000 TDCi (115ch) FAP PowerShift
1293,1293,FORD,FOCUS,FOCUS III 5P 2000 TDCi (140ch) FAP
1294,1294,FORD,FOCUS,FOCUS III 5P 2000 TDCi (140ch) FAP PowerShift
1295,1295,FORD,FOCUS,FOCUS III 5P 2000 TDCi (163ch) FAP
1296,1296,FORD,FOCUS,FOCUS III 5P 2000 TDCi (163ch) FAP PowerShift
1297,1297,FORD,FOCUS,FOCUS III SW 1000 EcoBoost (100ch) BVM5 S&S
1298,1298,FORD,FOCUS,FOCUS III SW 1000 EcoBoost (125ch) BVM6 S&S
1299,1299,FORD,FOCUS,FOCUS III SW 1600 EcoBoost (182ch) BVM6 S&S
1300,1300,FORD,FOCUS,FOCUS III SW 1600 FLEXIFUEL S&S (150ch)
1301,1301,FORD,FOCUS,FOCUS III SW 1600 TDCi ECOnétic S&S (88 g/km)
1302,1302,FORD,FOCUS,FOCUS III SW 1600 TDCi ECOnétic S&S (99 g/km)
1303,1303,FORD,FOCUS,FOCUS III SW 1600 TDCi S&S (115ch) FAP
1304,1304,FORD,FOCUS,FOCUS III SW 1600 TDCi S&S (95ch) FAP
1305,1305,FORD,FOCUS,FOCUS III SW 1600 Ti-VCT (125ch) PowerShift
1306,1306,FORD,FOCUS,FOCUS III SW 1600 Ti-VCT (85ch)
1307,1307,FORD,FOCUS,FOCUS III SW 2000 (250ch) EcoBoost
1308,1308,FORD,FOCUS,FOCUS III SW 2000 TDCi (115ch) FAP PowerShift
1309,1309,FORD,FOCUS,FOCUS III SW 2000 TDCi (140ch) FAP
1310,1310,FORD,FOCUS,FOCUS III SW 2000 TDCi (140ch) FAP PowerShift
1311,1311,FORD,FOCUS,FOCUS III SW 2000 TDCi (163ch) FAP
1312,1312,FORD,FOCUS,FOCUS III SW 2000 TDCi (163ch) FAP PowerShift
1313,1313,FORD,FOCUS ELECTRIC,FOCUS ELECTRIC
1314,1314,FORD,GALAXY,GALAXY II 1600 EcoBoost S&S (160ch)
1315,1315,FORD,GALAXY,GALAXY II 1600 TDCi S&S (115ch) FAP
1316,1316,FORD,GALAXY,GALAXY II 2000 (203ch) EcoBoost PowerShift
1317,1317,FORD,GALAXY,GALAXY II 2000 TDCi (140ch) FAP
1318,1318,FORD,GALAXY,GALAXY II 2000 TDCi (140ch) FAP PowerShift
1319,1319,FORD,GALAXY,GALAXY II 2000 TDCi (163ch) FAP
1320,1320,FORD,GALAXY,GALAXY II 2000 TDCi (163ch) FAP PowerShift
1321,1321,FORD,GALAXY,GALAXY II 2200 TDCi (200ch) BVA6 FAP
1322,1322,FORD,GRAND C-MAX,GRAND C-MAX 1000 EcoBoost S&S (100ch)
1323,1323,FORD,GRAND C-MAX,GRAND C-MAX 1000 EcoBoost S&S (125ch)
1324,1324,FORD,GRAND C-MAX,GRAND C-MAX 1600 EcoBoost S&S (150ch)
1325,1325,FORD,GRAND C-MAX,GRAND C-MAX 1600 TDCi (115ch) FAP
1326,1326,FORD,GRAND C-MAX,GRAND C-MAX 1600 TDCi (95ch) FAP
1327,1327,FORD,GRAND C-MAX,GRAND C-MAX 2000 TDCi (115ch) FAP Powershift
1328,1328,FORD,GRAND C-MAX,GRAND C-MAX 2000 TDCi (140ch) FAP
1329,1329,FORD,GRAND C-MAX,GRAND C-MAX 2000 TDCi (140ch) FAP PowerShift
1330,1330,FORD,KA,KA 3P 1250 S&S (69ch)
1331,1331,FORD,KUGA,KUGA 1600 EcoBoost (182ch) BVA6 4X4
1332,1332,FORD,KUGA,KUGA 1600 EcoBoost S&S (150ch) BVM6
1333,1333,FORD,KUGA,KUGA 2000 TDCi (140ch) FAP
1334,1334,FORD,KUGA,KUGA 2000 TDCi (140ch) FAP 4X4
1335,1335,FORD,KUGA,KUGA 2000 TDCi (140ch) FAP PowerShift 4X4
1336,1336,FORD,KUGA,KUGA 2000 TDCi (163ch) FAP 4X4
1337,1337,FORD,KUGA,KUGA 2000 TDCi (163ch) FAP PowerShift 4X4
1338,1338,FORD,MONDEO,MONDEO III 5P 1600 EcoBoost S&S (160ch)
1339,1339,FORD,MONDEO,MONDEO III 5P 1600 TDCi (115ch) FAP
1340,1340,FORD,MONDEO,MONDEO III 5P 1600 TDCi ECOnetic S&S (115ch) FAP
1341,1341,FORD,MONDEO,MONDEO III 5P 2000 EcoBoost (240ch) PowerShift
1342,1342,FORD,MONDEO,MONDEO III 5P 2000 TDCi (140ch) FAP PowerShift ECO
1343,1343,FORD,MONDEO,MONDEO III 5P 2000 TDCi (163ch) FAP PowerShift ECO
1344,1344,FORD,MONDEO,MONDEO III 5P 2000 TDCi ECO (140ch) FAP
1345,1345,FORD,MONDEO,MONDEO III 5P 2000 TDCi ECO (163ch) FAP
1346,1346,FORD,MONDEO,MONDEO III 5P 2200 TDCi (200ch) FAP BVA6
