,ID_Marque,Marque,Modele_com,Designation_com
118,118,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.2 TFSI (105ch)
119,119,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.2 TFSI (105ch) S tronic
120,120,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.4 TFSI (122ch)
121,121,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.4 TFSI (122ch) S tronic
122,122,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.4 TFSI (140ch)
123,123,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.4 TFSI (140ch) S tronic
124,124,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.6 TDI (105ch)
125,125,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.6 TDI (105ch) S TRONIC
126,126,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.6 TDI ultra (110ch)
127,127,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.8 TFSI (180ch)
128,128,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.8 TFSI (180ch) quatto S tronic
129,129,AUDI,A3 SPORTBACK,A3 SPORTBACK 1.8 TFSI (180ch) S tronic
130,130,AUDI,A3 SPORTBACK,A3 SPORTBACK 2.0 TDI (150ch)
131,131,AUDI,A3 SPORTBACK,A3 SPORTBACK 2.0 TDI (150ch) quattro
132,132,AUDI,A3 SPORTBACK,A3 SPORTBACK 2.0 TDI (150ch) S TRONIC
133,133,AUDI,A3 SPORTBACK,A3 SPORTBACK 2.0 TDI (184ch)
134,134,AUDI,A3 SPORTBACK,A3 SPORTBACK 2.0 TDI (184ch) quattro S tronic
135,135,AUDI,A4 ALLROAD QUATTRO,A4 ALLROAD QUATTRO 2.0 TDI (150ch)
136,136,AUDI,A4 ALLROAD QUATTRO,A4 ALLROAD QUATTRO 2.0 TDI (177ch)
137,137,AUDI,A4 ALLROAD QUATTRO,A4 ALLROAD QUATTRO 2.0 TDI (177ch) S TRONIC 7
138,138,AUDI,A4 ALLROAD QUATTRO,A4 ALLROAD QUATTRO 2.0 TDI (190ch)
139,139,AUDI,A4 ALLROAD QUATTRO,A4 ALLROAD QUATTRO 2.0 TDI (190ch) S TRONIC 7
140,140,AUDI,A4 ALLROAD QUATTRO,A4 ALLROAD QUATTRO 2.0 TFSI (225ch)
141,141,AUDI,A4 ALLROAD QUATTRO,A4 ALLROAD QUATTRO 2.0 TFSI (225ch) S TRONIC 7
142,142,AUDI,A4 ALLROAD QUATTRO,A4 ALLROAD QUATTRO V6 3.0 TDI (245ch) S TRONIC 7
