,ID_Consommation,Conso_urb,Conso_exurb,Conso_mixte
26298,26298,11.19999981,7.5,8.899999619
26299,26299,11.19999981,7.5,8.899999619
26300,26300,11.19999981,7.5,8.899999619
26301,26301,11.10000038,7.400000095,8.800000191
26302,26302,11.19999981,7.5,8.899999619
26303,26303,11.19999981,7.5,8.899999619
26304,26304,11.19999981,7.5,8.899999619
26305,26305,11.10000038,7.400000095,8.800000191
26306,26306,11.10000038,7.400000095,8.800000191
26307,26307,11.19999981,7.5,8.899999619
26308,26308,11.19999981,7.5,8.899999619
26309,26309,11.19999981,7.5,8.899999619
26310,26310,11.10000038,7.400000095,8.800000191
26311,26311,11.10000038,7.400000095,8.800000191
26312,26312,11.19999981,7.5,8.899999619
26313,26313,11.19999981,7.5,8.899999619
26314,26314,11.19999981,7.5,8.899999619
26315,26315,11.10000038,7.400000095,8.800000191
26316,26316,11.10000038,7.400000095,8.800000191
26317,26317,11.19999981,7.5,8.899999619
26318,26318,11.19999981,7.5,8.899999619
26319,26319,11.19999981,7.5,8.899999619
26320,26320,11.10000038,7.400000095,8.800000191
26321,26321,11.19999981,7.5,8.899999619
26322,26322,11.10000038,7.400000095,8.800000191
26323,26323,11.10000038,7.400000095,8.800000191
26324,26324,11.19999981,7.5,8.899999619
26325,26325,11.19999981,7.5,8.899999619
26326,26326,11.19999981,7.5,8.899999619
26327,26327,11.10000038,7.400000095,8.800000191
26328,26328,11.10000038,7.400000095,8.800000191
26329,26329,11.19999981,7.5,8.899999619
26330,26330,11.10000038,7.400000095,8.800000191
26331,26331,11.19999981,7.5,8.899999619
26332,26332,11.10000038,7.400000095,8.800000191
26333,26333,11.10000038,7.400000095,8.800000191
26334,26334,11.19999981,7.5,8.899999619
26335,26335,11.10000038,7.400000095,8.800000191
26336,26336,11.10000038,7.400000095,8.800000191
26337,26337,11.19999981,7.5,8.899999619
26338,26338,11.19999981,7.5,8.899999619
26339,26339,11.10000038,7.400000095,8.800000191
26340,26340,11.19999981,7.5,8.899999619
26341,26341,11.19999981,7.5,8.899999619
26342,26342,11.19999981,7.5,8.899999619
26343,26343,11.19999981,7.5,8.899999619
26344,26344,11.19999981,7.5,8.899999619
26345,26345,11.19999981,7.5,8.899999619
26346,26346,11.19999981,7.5,8.899999619
26347,26347,11.19999981,7.5,8.899999619
26348,26348,11.19999981,7.5,8.899999619
26349,26349,11.10000038,7.400000095,8.800000191
26350,26350,11.19999981,7.5,8.899999619
26351,26351,11.19999981,7.5,8.899999619
26352,26352,11.10000038,7.400000095,8.800000191
26353,26353,11.19999981,7.5,8.899999619
26354,26354,11.19999981,7.5,8.899999619
26355,26355,11.10000038,7.400000095,8.800000191
26356,26356,11.19999981,7.5,8.899999619
26357,26357,11.19999981,7.5,8.899999619
26358,26358,11.10000038,7.400000095,8.800000191
